Date,Open,High,Low,Close,Adj Close,Volume
2023-07-13,73.580002,73.860001,73.510002,73.779999,71.066345,2998100
2023-07-14,73.720001,73.750000,73.169998,73.379997,70.681053,3100000
2023-07-17,73.169998,73.370003,72.940002,73.190002,70.498039,3325100
2023-07-18,73.120003,74.110001,73.110001,73.779999,71.066345,3130100
2023-07-19,73.959999,74.570000,73.959999,74.500000,71.759857,3351700
2023-07-20,74.440002,74.940002,74.309998,74.800003,72.048820,2824000
2023-07-21,75.010002,75.160004,74.779999,74.970001,72.212578,2626700
2023-07-24,75.080002,75.570000,75.050003,75.410004,72.636383,2494000
2023-07-25,75.419998,75.629997,75.250000,75.330002,72.559334,3777800
2023-07-26,75.029999,75.699997,74.959999,75.470001,72.694168,2602000
2023-07-27,75.809998,76.029999,75.070000,75.160004,72.395576,3481000
2023-07-28,75.589996,75.870003,75.360001,75.629997,72.848289,2283100
2023-07-31,75.739998,75.839996,75.389999,75.660004,72.877197,2559500
2023-08-01,75.570000,75.690002,75.029999,75.320000,72.549690,3126800
2023-08-02,74.839996,74.959999,74.419998,74.540001,71.798386,3566000
2023-08-03,74.330002,74.720001,74.110001,74.459999,71.721321,2697800
2023-08-04,74.639999,74.930000,74.059998,74.160004,71.432365,2754200
2023-08-07,74.370003,74.870003,74.349998,74.809998,72.058449,2543200
2023-08-08,74.360001,74.580002,73.820000,74.540001,71.798386,2433100
2023-08-09,74.519997,74.790001,74.230003,74.349998,71.615372,1986700
2023-08-10,74.650002,75.150002,74.199997,74.360001,71.625008,2348400
2023-08-11,74.230003,74.650002,74.120003,74.570000,71.827278,1729600
2023-08-14,74.449997,74.529999,74.199997,74.449997,71.711685,2206800
2023-08-15,74.029999,74.029999,73.440002,73.570000,70.864052,2819100
2023-08-16,73.550003,73.919998,73.209999,73.269997,70.575089,2430000
2023-08-17,73.599998,73.980003,73.320000,73.379997,70.681053,2422100
2023-08-18,73.010002,73.709999,72.910004,73.559998,70.854424,2617400
2023-08-21,73.599998,73.739998,73.050003,73.519997,70.815895,2360100
2023-08-22,73.599998,73.690002,72.889999,72.959999,70.276497,2975200
2023-08-23,73.029999,73.620003,72.970001,73.580002,70.873703,2362500
2023-08-24,73.580002,74.080002,73.000000,73.010002,70.324654,2592000
2023-08-25,73.250000,73.540001,72.769997,73.339996,70.642517,2490200
2023-08-28,73.660004,73.970001,73.500000,73.760002,71.047073,2152400
2023-08-29,73.849998,74.480003,73.779999,74.459999,71.721321,2536200
2023-08-30,74.519997,74.760002,74.330002,74.589996,71.846550,2258700
2023-08-31,74.760002,74.860001,74.519997,74.529999,71.788757,1934600
2023-09-01,74.879997,75.080002,74.459999,74.669998,71.923599,2609600
2023-09-05,74.669998,74.730003,73.959999,74.010002,71.287880,3610400
2023-09-06,73.879997,73.879997,73.080002,73.430000,70.729210,3485300
2023-09-07,73.300003,73.550003,73.089996,73.379997,70.681053,2061100
2023-09-08,73.440002,73.760002,73.400002,73.669998,70.960381,2062500
2023-09-11,73.940002,74.080002,73.690002,73.779999,71.066345,2103100
2023-09-12,73.629997,74.040001,73.580002,73.760002,71.047073,2567300
2023-09-13,73.839996,74.010002,73.349998,73.550003,70.844795,2095700
2023-09-14,74.000000,74.400002,73.949997,74.339996,71.605736,2334600
2023-09-15,74.160004,74.330002,73.599998,73.629997,70.921852,2709500
2023-09-18,73.720001,73.830002,73.449997,73.620003,70.912224,2686700
2023-09-19,73.599998,73.639999,73.080002,73.430000,70.729210,2459300
2023-09-20,73.019997,73.290001,72.440002,72.480003,70.442505,3193000
2023-09-21,72.110001,72.160004,71.410004,71.430000,69.422020,3484800
2023-09-22,71.610001,71.680000,71.260002,71.290001,69.285957,3398200
2023-09-25,71.139999,71.489998,71.059998,71.480003,69.470619,3045200
2023-09-26,71.059998,71.190002,70.529999,70.629997,68.644508,4384400
2023-09-27,70.900002,70.949997,70.139999,70.639999,68.654221,2927100
2023-09-28,70.610001,71.209999,70.480003,71.010002,69.013832,2770200
2023-09-29,71.370003,71.370003,70.540001,70.760002,68.770859,2481600
2023-10-02,70.690002,70.699997,69.779999,70.180000,68.207153,4506100
2023-10-03,69.839996,70.000000,69.169998,69.419998,67.468521,4192000
2023-10-04,69.449997,69.519997,68.839996,69.449997,67.497681,5300500
2023-10-05,69.330002,69.559998,68.889999,69.209999,67.264427,3832100
2023-10-06,68.910004,69.970001,68.459999,69.629997,67.672623,4179600
2023-10-09,69.720001,70.500000,69.610001,70.400002,68.420975,2781900
2023-10-10,70.669998,71.139999,70.510002,70.750000,68.761139,2660100
2023-10-11,70.870003,70.980003,70.440002,70.860001,68.868042,2644900
2023-10-12,71.050003,71.050003,70.070000,70.470001,68.489014,3613400
2023-10-13,70.730003,70.949997,70.129997,70.320000,68.343224,2342200
2023-10-16,70.809998,71.379997,70.739998,71.150002,69.149895,3114400
2023-10-17,70.820000,71.599998,70.809998,71.430000,69.422020,2862000
2023-10-18,71.199997,71.260002,70.519997,70.620003,68.634796,2809100
2023-10-19,70.570000,70.849998,69.870003,69.980003,68.012787,3716200
2023-10-20,69.900002,70.010002,69.279999,69.290001,67.342178,3400900
